layer,metric,n_clean,n_infected,median_clean,median_infected,U,p_value,rank_biserial
0,frac_live_p,20,42,0.0,0.0,500.0,0.039874014849608466,-0.19047619047619047
0,median_log_p,20,42,4.271257959916721,4.262127692397446,445.0,0.7121781172552228,-0.059523809523809534
0,median_contrast,20,42,0.11849945803876227,0.011518277682382894,308.0,0.09314836954621968,0.2666666666666667
1,frac_live_p,20,42,0.0,0.0,480.0,0.08072021899263722,-0.1428571428571428
1,median_log_p,20,42,4.484515170474831,4.4926730525354035,409.0,0.8743670611628918,0.02619047619047621
1,median_contrast,20,42,0.0888618302959554,-0.020916805851893594,319.0,0.130184244380808,0.2404761904761905
2,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
2,median_log_p,20,42,4.467969840673168,4.474288810970975,443.0,0.7347487513315616,-0.05476190476190479
2,median_contrast,20,42,0.073893928334676,-0.021132500789959652,318.0,0.12640476834511954,0.24285714285714288
3,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
3,median_log_p,20,42,4.467013239933276,4.46303630154307,429.0,0.8981513844314172,-0.021428571428571352
3,median_contrast,20,42,0.06935220509983298,0.0026159883660126226,350.0,0.29529494584975746,0.16666666666666663
4,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
4,median_log_p,20,42,4.4385138755301465,4.507058389561212,477.0,0.3948786419733411,-0.13571428571428568
4,median_contrast,20,42,0.0681586162497062,-0.002466037815475275,350.0,0.29530102621572096,0.16666666666666663
5,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
5,median_log_p,20,42,4.467918600121355,4.526019981930558,489.0,0.3023041322910741,-0.16428571428571437
5,median_contrast,20,42,0.038060032483932194,-0.03590378489795665,305.0,0.08463360429494844,0.27380952380952384
6,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
6,median_log_p,20,42,4.369525937162568,4.423529728669968,464.0,0.5124399214707597,-0.10476190476190483
6,median_contrast,20,42,0.053466965762149266,-0.03462965011875896,312.0,0.10549353220538152,0.2571428571428571
7,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
7,median_log_p,20,42,4.382746319032101,4.4199688164636655,456.0,0.5929434225428121,-0.08571428571428563
7,median_contrast,20,42,0.04567038968317849,-0.05223994974881507,366.0,0.42045744500169424,0.12857142857142856
8,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
8,median_log_p,20,42,4.5539590058565125,4.628758502496751,496.0,0.255574192471123,-0.18095238095238098
8,median_contrast,20,42,0.030625401421620957,-0.014567903558438289,377.0,0.5221825043686285,0.10238095238095235
9,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
9,median_log_p,20,42,4.58961341575818,4.616309600087818,505.0,0.20321672422042558,-0.20238095238095233
9,median_contrast,20,42,0.03088051667652958,-0.01145722270179883,339.0,0.2254100032531119,0.19285714285714284
10,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
10,median_log_p,20,42,4.670970616075194,4.6951925954240235,447.0,0.6898568611530995,-0.06428571428571428
10,median_contrast,20,42,0.01037167784144577,-0.021395260632748103,345.0,0.26189979356891935,0.1785714285714286
11,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
11,median_log_p,20,42,4.736933269965972,4.746171992658094,418.0,0.9819791572403302,0.004761904761904745
11,median_contrast,20,42,0.0027583371658101985,-0.013853872943215828,392.0,0.6787951688608178,0.06666666666666665
12,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
12,median_log_p,20,42,4.786550923745247,4.787644221510561,392.0,0.6787951688608178,0.06666666666666665
12,median_contrast,20,42,0.001484453103688388,0.0,399.5,0.7630421427657306,0.04880952380952386
13,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
13,median_log_p,20,42,4.752473456012772,4.782295993615529,443.0,0.7347487513315616,-0.05476190476190479
13,median_contrast,20,42,-0.0014445938819687143,-0.018104692356853302,388.5,0.6406298859802271,0.07499999999999996
14,frac_live_p,20,42,0.0,0.0,480.0,0.08072021899263722,-0.1428571428571428
14,median_log_p,20,42,4.819467229792487,4.834963672029847,421.0,0.993992598373566,-0.0023809523809523725
14,median_contrast,20,42,-0.00786903272513717,-0.020211300689961575,398.0,0.7461220143036074,0.05238095238095242
15,frac_live_p,20,42,0.0,0.0,490.0,0.0568381112087679,-0.16666666666666674
15,median_log_p,20,42,4.774434507214332,4.7996022314191364,418.0,0.9819791572403302,0.004761904761904745
15,median_contrast,20,42,-0.01098590397551824,-0.03365200410284386,394.0,0.7009852227818731,0.06190476190476191
16,frac_live_p,20,42,0.0,0.0,480.0,0.08072021899263722,-0.1428571428571428
16,median_log_p,20,42,4.726034928589385,4.751096290862269,442.0,0.7461220143036074,-0.05238095238095242
16,median_contrast,20,42,0.0,-0.04803062536963543,338.0,0.21966497778723282,0.1952380952380952
17,frac_live_p,20,42,0.0,0.0,501.0,0.06871523261847977,-0.19285714285714284
17,median_log_p,20,42,4.723330580486731,4.730692805547773,424.0,0.9579672518055619,-0.00952380952380949
17,median_contrast,20,42,-0.018414420673984466,-0.04609641348005633,371.0,0.46518510020641113,0.1166666666666667
18,frac_live_p,20,42,0.0,0.0,499.0,0.07588748964630135,-0.1880952380952381
18,median_log_p,20,42,4.71794539450668,4.698466651855313,371.0,0.46518510020641113,0.1166666666666667
18,median_contrast,20,42,-0.05143495525206232,-0.05720275603647029,396.0,0.7234333663442452,0.05714285714285716
19,frac_live_p,20,42,0.0,0.007922833578126766,596.5,0.007510655203894418,-0.4202380952380953
19,median_log_p,20,42,4.647868742283897,4.625515731564603,349.0,0.2884074193817132,0.169047619047619
19,median_contrast,20,42,-0.07264986962925968,-0.05954234820755677,444.0,0.7234333663442452,-0.05714285714285716
20,frac_live_p,20,42,0.0,0.0131278865410553,596.5,0.007511422052651165,-0.4202380952380953
20,median_log_p,20,42,4.65521274483672,4.586550881754299,336.0,0.2086154049313378,0.19999999999999996
20,median_contrast,20,42,-0.08668920876248709,-0.04440141748834048,453.0,0.6245540935712767,-0.07857142857142851
21,frac_live_p,20,42,0.005162742982000346,0.01710768188854489,543.5,0.06384440027490543,-0.2940476190476191
21,median_log_p,20,42,4.574361089573538,4.472196453517984,280.0,0.0356711854280487,0.33333333333333337
21,median_contrast,20,42,-0.14832682915787698,-0.029583602518167718,491.0,0.28838313563267703,-0.1690476190476191
22,frac_live_p,20,42,0.01680056490400629,0.025064599483204136,510.0,0.1774385168605076,-0.2142857142857142
22,median_log_p,20,42,4.552025110732659,4.467940789222748,277.0,0.031886442905727674,0.3404761904761905
22,median_contrast,20,42,-0.1470206098055884,-0.034482437575438674,522.0,0.12640476834511954,-0.24285714285714288
23,frac_live_p,20,42,0.021244985886198185,0.03782154460639661,493.0,0.27493587505750117,-0.17380952380952386
23,median_log_p,20,42,4.475403796597545,4.368654376642764,273.0,0.027379439821098497,0.35
23,median_contrast,20,42,-0.13222297156360363,-0.05155735147479179,509.0,0.18261672137379614,-0.21190476190476182
24,frac_live_p,20,42,0.035624012638230645,0.04740331155839993,497.0,0.24931446076637775,-0.18333333333333335
24,median_log_p,20,42,4.461651832707682,4.351251984113831,269.0,0.02343308324225073,0.3595238095238096
24,median_contrast,20,42,-0.1188761755925749,-0.05582425586427742,489.0,0.30229804490767687,-0.16428571428571437
25,frac_live_p,20,42,0.03913857677902621,0.058030166082928485,495.5,0.25871752009858484,-0.1797619047619048
25,median_log_p,20,42,4.4433561342295596,4.328659706723396,267.0,0.021652111576689337,0.3642857142857143
25,median_contrast,20,42,-0.12607149654413297,-0.08258795907029914,487.0,0.31642594048832884,-0.15952380952380962
26,frac_live_p,20,42,0.035767790262172285,0.05851198473431081,510.5,0.17532870897410346,-0.21547619047619038
26,median_log_p,20,42,4.450988370496068,4.310833311014102,246.0,0.008984491693172236,0.41428571428571426
26,median_contrast,20,42,-0.14915506159486358,-0.07537441259313904,543.0,0.06508672649276676,-0.2928571428571429
27,frac_live_p,20,42,0.05817535545023697,0.07555241962247598,498.0,0.2431800320054942,-0.18571428571428572
27,median_log_p,20,42,4.3416830183687445,4.135243167332785,254.0,0.012696311952680067,0.3952380952380953
27,median_contrast,20,42,-0.13627346150629083,-0.06951835163204678,520.0,0.13405083858953482,-0.23809523809523814
28,frac_live_p,20,42,0.06250529167725002,0.08816683403379577,503.5,0.21134764784701987,-0.19880952380952377
28,median_log_p,20,42,4.282345707988583,4.145414452545451,270.0,0.02437030748090685,0.3571428571428571
28,median_contrast,20,42,-0.1451969789625014,-0.060733589285506984,540.0,0.07192742242488673,-0.2857142857142858
29,frac_live_p,20,42,0.0703793074252815,0.09957554915264741,512.5,0.16593134374620166,-0.22023809523809534
29,median_log_p,20,42,4.134948235836655,3.969782980352453,284.0,0.04130831114681408,0.32380952380952377
29,median_contrast,20,42,-0.10713037606336467,-0.08866933147902645,492.0,0.2816231382107447,-0.17142857142857149
30,frac_live_p,20,42,0.05725806451612903,0.08657239002193431,510.5,0.1752689208929673,-0.21547619047619038
30,median_log_p,20,42,4.1187994018562355,3.9122609875664303,291.0,0.05298574037360945,0.30714285714285716
30,median_contrast,20,42,-0.12722094493491354,-0.1179046944427723,470.0,0.45602788589072163,-0.11904761904761907
